,language,primary_paradigm,out_degree,in_degree,pagerank,betweenness
0,Python,Object-Oriented,4,1,0.008641199095014903,0.00036075036075036075
1,JavaScript,Functional,3,2,0.011233523107166594,0.0009276437847866418
2,Java,Object-Oriented,7,2,0.012189273012488193,0.0026798598227169654
3,C,Procedural,8,0,0.007811250901312802,0.0
4,C++,Object-Oriented,6,2,0.01528078464463172,0.003092145949288806
5,C#,Object-Oriented,4,2,0.011456259158034315,0.0015976087404658832
6,Go,Procedural,0,2,0.01528078464463172,0.0
7,Rust,Functional,3,2,0.011635974216686792,0.0006184291898577612
8,TypeScript,Object-Oriented,0,2,0.013428491200946755,0.0
9,Swift,Object-Oriented,0,3,0.021994497377819448,0.0
10,Kotlin,Object-Oriented,0,2,0.018599849092224396,0.0
11,PHP,Object-Oriented,0,2,0.01231373498194564,0.0
12,Ruby,Object-Oriented,3,3,0.015024899081372506,0.000979179550608122
13,Perl,Object-Oriented,2,1,0.008641199095014903,0.00020614306328592042
14,R,Functional,0,1,0.009753341778414868,0.0
15,MATLAB,Procedural,0,2,0.01577875356085298,0.0
16,SQL,Declarative,1,0,0.007811250901312802,0.0
17,HTML/CSS,Declarative,0,0,0.007811250901312802,0.0
18,Dart,Object-Oriented,0,3,0.014908672529698479,0.0
19,Scala,Object-Oriented,1,2,0.010951328617468732,0.00010307153164296021
20,Lua,Procedural,0,1,0.009753341778414868,0.0
21,Groovy,Object-Oriented,0,3,0.015384872825172625,0.0
22,Haskell,Functional,4,0,0.007811250901312802,0.0
23,Elixir,Functional,0,2,0.0243518988965296,0.0
24,Erlang,Functional,1,1,0.014450836450929618,0.00010307153164296021
25,Fortran,Procedural,1,0,0.007811250901312802,0.0
26,COBOL,Procedural,1,0,0.007811250901312802,0.0
27,Assembly,Procedural,0,0,0.007811250901312802,0.0
28,Julia,Functional,0,2,0.010975435954701534,0.0
29,Objective-C,Object-Oriented,1,2,0.010854394278220509,0.00020614306328592042
30,Ada,Procedural,1,0,0.007811250901312802,0.0
31,Visual Basic,Object-Oriented,1,0,0.007811250901312802,0.0
32,VB.NET,Object-Oriented,0,2,0.016885294342762137,0.0
33,F#,Object-Oriented,0,2,0.016885294342762137,0.0
34,Delphi/Object Pascal,Procedural,0,0,0.007811250901312802,0.0
35,Racket,Functional,0,1,0.009753341778414868,0.0
36,Scheme,Functional,4,1,0.009139168011236166,0.0007215007215007215
37,Lisp,Functional,5,0,0.007811250901312802,0.0
38,Prolog,Declarative,1,0,0.007811250901312802,0.0
39,OCaml,Functional,1,0,0.007811250901312802,0.0
40,Crystal,Object-Oriented,0,2,0.012898371746657634,0.0
41,Nim,Unknown,0,0,0.007811250901312802,0.0
42,Zig,Unknown,0,0,0.007811250901312802,0.0
43,V,Unknown,0,0,0.007811250901312802,0.0
44,Carbon,Multi-Paradigm,0,2,0.013273059546537805,0.0
45,Mojo,Multi-Paradigm,0,2,0.012944500562033385,0.0
46,Solidity,Contract-oriented,0,3,0.014995128180549393,0.0
47,Apex,Object-Oriented,0,1,0.009291432230064527,0.0
48,ABAP,Procedural,0,1,0.014450836450929618,0.0
49,Scratch,Visual,0,1,0.014450836450929618,0.0
50,PowerShell,Scripting,0,0,0.007811250901312802,0.0
51,Bash/Shell,Scripting,0,0,0.007811250901312802,0.0
52,Power Query (M),Declarative,0,0,0.007811250901312802,0.0
53,VHDL,Hardware description,0,0,0.007811250901312802,0.0
54,Verilog,Hardware description,1,1,0.008641199095014903,5.1535765821480104e-05
55,SystemVerilog,Hardware description,0,2,0.017321149603144063,0.0
56,LabVIEW,Visual,0,0,0.007811250901312802,0.0
57,SAS,Functional,0,0,0.007811250901312802,0.0
58,Stata,Functional,0,0,0.007811250901312802,0.0
59,D,Unknown,0,0,0.007811250901312802,0.0
60,Pascal,Unknown,1,0,0.007811250901312802,0.0
61,Simula,Unknown,1,0,0.007811250901312802,0.0
62,Smalltalk,Object-Oriented,3,0,0.007811250901312802,0.0
63,Logo,Visual,1,0,0.007811250901312802,0.0
64,Forth,Procedural,0,0,0.007811250901312802,0.0
65,APL,Array,0,0,0.007811250901312802,0.0
66,RPG,Declarative,0,0,0.007811250901312802,0.0
67,PL/SQL,Procedural,0,2,0.02109042200054644,0.0
68,T-SQL,Procedural,0,0,0.007811250901312802,0.0
69,Reason,Unknown,0,0,0.007811250901312802,0.0
70,ReScript,Functional,0,0,0.007811250901312802,0.0
71,PureScript,Functional,0,0,0.007811250901312802,0.0
72,Elm,Unknown,0,0,0.007811250901312802,0.0
73,Haxe,Unknown,0,0,0.007811250901312802,0.0
74,Vala,Unknown,0,0,0.007811250901312802,0.0
75,Clojure,Functional,0,2,0.01079906439864037,0.0
76,Common Lisp,Functional,0,0,0.007811250901312802,0.0
77,Ada 2012,Unknown,0,0,0.007811250901312802,0.0
78,CoffeeScript,Functional,0,0,0.007811250901312802,0.0
79,LiveScript,Functional,0,0,0.007811250901312802,0.0
80,GDScript,Scripting,0,0,0.007811250901312802,0.0
81,Blueprints,Visual,0,0,0.007811250901312802,0.0
82,CFML,Scripting,0,0,0.007811250901312802,0.0
83,FoxPro,Procedural,0,0,0.007811250901312802,0.0
84,Clarion,Procedural,0,0,0.007811250901312802,0.0
85,MUMPS,Procedural,0,0,0.007811250901312802,0.0
86,PostScript,Procedural,0,0,0.007811250901312802,0.0
87,Raku,Multi-Paradigm,0,0,0.007811250901312802,0.0
88,Hack,Object-Oriented,0,0,0.007811250901312802,0.0
89,Q#,Functional,0,0,0.007811250901312802,0.0
90,Ball,Unknown,0,0,0.007811250901312802,0.0
91,Move,Declarative,0,0,0.007811250901312802,0.0
92,Cuneiform,Unknown,0,0,0.007811250901312802,0.0
93,Red,Unknown,0,0,0.007811250901312802,0.0
94,Rebol,Functional,0,0,0.007811250901312802,0.0
95,Io,Object-Oriented,0,0,0.007811250901312802,0.0
96,Pony,Object-Oriented,0,0,0.007811250901312802,0.0
97,Gleam,Functional,0,0,0.007811250901312802,0.0
98,Odin,Procedural,0,0,0.007811250901312802,0.0
99,Lobster,Functional,0,0,0.007811250901312802,0.0
